0	0	a	@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL
1	1	a	Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT
2	0	a	"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂"""
3	1	a	@USER @USER Obama wanted liberals &amp; illegals to move into red states
4	0	a	@USER Liberals are all Kookoo !!!
5	0	a	@USER @USER Oh noes! Tough shit.
6	0	a	@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism
7	1	a	@USER Buy more icecream!!!
8	0	a	@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo
9	1	a	@USER @USER @USER It’s not my fault you support gun control
10	1	a	@USER What’s the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL
11	0	a	@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL
12	1	a	@USER @USER @USER It should scare every American!  She is playing Hockey with a warped puck!
13	1	a	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE.
14	1	a	@USER you are also the king of taste
15	1	a	#MAGA @USER  🎶 Sing like no one is listening  ♥️ Love like you've never been hurt  ✔️ Vote GOP when no one is watching  🙉  And don't listen to Liberals' dirt URL
16	1	a	"5/5: @USER The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist"""
17	1	a	@USER Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂
18	0	a	@USER @USER @USER gun control! That is all these kids are asking for!
19	0	a	@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL
20	1	a	@USER @USER You are correct.
21	0	a	@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?
22	0	a	@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔
23	1	a	@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL
24	0	a	@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..
25	1	a	"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”""  URL #TCOT #MAGA #RedNationRising"""
26	1	a	@USER @USER You can tell he is a hooper too
27	1	a	@USER I feel like he is better chasing the title
28	0	a	@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?
29	1	a	@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL
30	1	a	@USER Yes you are but I was asking what is it about the movie ?🤷‍♂️👀
31	0	a	The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK
32	1	a	@USER No wonder he is being apologetic and more social these day....
33	1	a	@USER @USER @USER Any updates re ending your blatant #racism as #Windrush &amp; #Grenfell proves you are  @USER @USER #alloutpolitics #politicslive #PMQs @USER URL
34	1	a	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what’s going to happen now?  I’m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa.
35	0	a	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL
36	0	a	@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke
37	1	a	@USER Blow hard
38	1	a	@USER @USER @USER That means you are a max lvl. Twitter user and maybe should try a new game
39	1	a	"@USER @USER Please explain what controlled opposition"" means.  As for Bernier escaping, he split with the rest of the Conservatives because he's even more racist and exclusionary than they want to be."""
40	1	a	@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.
41	1	a	3. Nina  One of the reasons I didn't read this book for so long was because I was SO WORRIED about her character. I should've trusted everyone. Nina is a goddamn goddess I would die for a thousand times over. She is big and bold and lovely and PERFECT. HER ARC. IS. PERFECT.
42	1	a	.@USER @USER @USER @USER @USER  PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.    #RuleOfLaw matters. #MeToo #CountryOverParty #WithdrawKavanaugh  #StopKavanaugh
43	1	a	"@USER @USER Ppl who say I'm not racist"" are racist. You Are A Racist. Repeat after me"""
44	1	a	@USER Kathy the Patriot🗽  YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE &amp; EVERYTHING FOR AMERICANS!! #AMERICAFIRST #USA #MAGA #LEADERSHIP &amp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGTH #GOD #BLESS #TRUMP &amp; #THEUSA     😀 🗽🗽🗽 😀
45	1	a	@USER Wow you liberals really don’t have a sense of humor.🙄
46	1	a	@USER I'M SO FUCKING READY
47	1	a	@USER Holy moly!! If the catholic people haven't been awakened by this ..... #FalseProphet  #Lunatic
48	1	a	@USER Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc
49	1	a	@USER @USER @USER What a surprise.... same as antifa. BLM and so on and so on. Soros is Americas worst enemy in HISTORY. He believes the only way to take down the USA is from withing. And hes right. But it's not gunna happen.
50	1	a	@USER Me too! Her wedding was the best! She is very pretty!
51	1	a	@USER @USER No conflict here—don’t look at this.  #Soros involved in violent left agenda of Antifa also.
52	1	a	@USER @USER @USER URL any of your announcements every come to fruition or is it basically stealing Labour's ideas to get a few more votes
53	0	a	4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???
54	1	a	#GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC 2A URL
55	1	a	@USER @USER Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?
56	0	a	@USER Fuck off
57	1	a	@USER Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities.  I’d like to know if the black population that suffers the most shares her opinion
58	0	a	"@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing"""""
59	0	a	@USER @USER She is useless.  Attempts to do the right thing but never follows through.
60	1	a	#WalkAway liberals......Your party is POISON. URL
61	0	a	@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.
62	1	a	@USER You are lying. Stick with the facts. We pay more than that now.
63	0	a	@USER Trump kicks dem butt - its so fun.
64	0	a	@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.
65	1	a	#Toxictory minister @USER attempted to expense £50 charity donation! It's what  @USER do!! @USER #Toriesmustgo #DissolveTheUnion  URL
66	1	a	@USER ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for #Manmarziyaan 🤠👍
67	0	a	@USER And this from the clown that should be in prison?
68	1	a	@USER @USER @USER @USER did Twitter silence alex jones in retaliation of him asking Twitter jack questions  @USER @USER @USER @USER URL
69	0	a	@USER Thats because you are an old man.
70	0	a	@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!
71	1	a	"@USER @USER No you're not..you're here 2 represent the Alinskyite Orwellian Leftist Tool&amp;Fool view on things..like 99.9% of the Marxists&amp;Antifa similar 2U..psst! And B4U use the words fascist or fascism again go ahead &amp; read D'Souza's book The Big Lie""..right now U know SQUAT about either.."""
72	1	a	"@USER I do remember. :( But somehow centrist"" antifa-haters can never quite seem to bring themselves to condemn such things."""
73	0	a	@USER I mean it worked for gun control right? URL
74	1	a	@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She's not as important as she thinks she is.
75	1	a	@USER Principled conservatives are #Hypocrickets
76	1	a	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Don't forget @USER &amp; Democrat backed #Antifa
77	1	a	@USER She is a beautiful person to teach values to her kids. Teaching them they are royalty but keep to keep it from going to their heads. Stay real ❤️
78	1	a	@USER Bring out his Antifa criminal son to campaign for him
79	1	a	@USER @USER I didn’t watch and will not watch @USER Watching the September 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a Saturday.
80	1	a	A tear is made of 1% water and 99% feelings.
81	1	a	"@USER @USER Trump addresses gun control representing the NRA.  I will not let you down"" he says. URL"
82	0	a	@USER She is drinking so much koolaid she’s bloated.
83	1	a	@USER Holder needs to be prosecuted
84	1	a	@USER But... But... BOTH PLAYERS WERE WOMEN. And BOTH WERE WOMEN OF COLOR!
85	0	a	@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!
